t,x,y,psi,u,v,r,u_d,psi_deg,psi_d_deg,xte_m,F_port_kgf,F_stbd_kgf,tau_u_N,tau_r_Nm,tau_u_cmd_N,tau_r_cmd_Nm,wp_idx
5.496000000000299224e+01,2.992202730432524049e+00,1.498585146978299143e+01,3.136858569691555410e+00,7.684747932697237882e-01,4.129652083140624797e-06,3.636757175782787442e-06,7.999999999872189349e-01,1.797287569727701282e+02,1.797290808480437363e+02,1.414853021700857028e-02,5.971589294873704823e-01,5.971678778703802815e-01,1.171234498537488555e+01,1.755073204847690385e-05,1.171234498537488555e+01,1.755073204865109109e-05,2.000000000000000000e+00
5.498000000000299536e+01,2.976832919550146617e+00,1.498592414967657760e+01,3.136858641963988337e+00,7.685231992619140362e-01,4.077129968157630049e-06,3.591078252207583746e-06,7.999999999875372358e-01,1.797287611136755174e+02,1.797290809300064609e+02,1.407585032342240083e-02,5.972405090244423675e-01,5.972493454954723724e-01,1.171394393182772120e+01,1.733123572549288770e-05,1.171394393182772120e+01,1.733123572539260239e-05,2.000000000000000000e+00
5.500000000000299849e+01,2.961462141348211397e+00,1.498599683408931504e+01,3.136858713328955606e+00,7.685715266825559056e-01,4.025281948259307677e-06,3.546003115326083107e-06,7.999999999878475432e-01,1.797287652025869420e+02,1.797290810117601154e+02,1.400316591068495597e-02,5.973219724617042647e-01,5.973306984003574627e-01,1.171554061470943786e+01,1.711444525867023139e-05,1.171554061470943786e+01,1.711444525881073044e-05,2.000000000000000000e+00
5.502000000000300162e+01,2.946090397396719407e+00,1.498606952301409478e+01,3.136858783798446737e+00,7.686197756724876262e-01,3.974099407920034333e-06,3.501523247422354771e-06,7.999999999881501900e-01,1.797287692401913830e+02,1.797290810933075420e+02,1.393047698590521577e-02,5.974033199643753456e-01,5.974119367332746400e-01,1.171713503709400861e+01,1.690032734522617578e-05,1.171713503709400861e+01,1.690032734526125650e-05,2.000000000000000000e+00
5.504000000000300474e+01,2.930717689262857473e+00,1.498614221644381139e+01,3.136858853384282053e+00,7.686679463722527750e-01,3.923573838537037709e-06,3.457630238721221385e-06,7.999999999884450652e-01,1.797287732271660445e+02,1.797290811746515544e+02,1.385778355618860758e-02,5.974845516973585902e-01,5.974930606424097013e-01,1.171872720205178808e+01,1.668884919716617923e-05,1.171872720205178808e+01,1.668884919723182767e-05,2.000000000000000000e+00
5.506000000000300787e+01,2.915344018511004887e+00,1.498621491437136299e+01,3.136858922098114455e+00,7.687160389221012746e-01,3.873696837107670731e-06,3.414315787559279610e-06,7.999999999887326130e-01,1.797287771641786378e+02,1.797290812557948527e+02,1.378508562863700604e-02,5.975656678252432297e-01,5.975740702758964851e-01,1.172031711264954090e+01,1.647997853986282667e-05,1.172031711264954090e+01,1.647997853990784139e-05,2.000000000000000000e+00
5.508000000000301100e+01,2.899969386702738294e+00,1.498628761678965660e+01,3.136858989951432974e+00,7.687640534619897270e-01,3.824460104930670346e-06,3.371571700639124773e-06,7.999999999890130553e-01,1.797287810518874096e+02,1.797290813367400517e+02,1.371238321034340402e-02,5.976466685123116296e-01,5.976549657818076566e-01,1.172190477195042391e+01,1.627368358079195535e-05,1.172190477195042391e+01,1.627368358071851759e-05,2.000000000000000000e+00
5.510000000000301412e+01,2.884593795396838356e+00,1.498636032369160098e+01,3.136859056955562775e+00,7.688119901315827454e-01,3.775855446330411970e-06,3.329389892965449439e-06,7.999999999892862812e-01,1.797287848909412560e+02,1.797290814174895957e+02,1.363967630839901801e-02,5.977275539225378465e-01,5.977357473081534867e-01,1.172349018301395773e+01,1.606993300953263451e-05,1.172349018301395773e+01,1.606993300962448676e-05,2.000000000000000000e+00
5.512000000000301725e+01,2.869217246149295963e+00,1.498643303507011382e+01,3.136859123121668702e+00,7.688598490702530652e-01,3.727874767403229157e-06,3.287762387876605121e-06,7.999999999895527347e-01,1.797287886819798928e+02,1.797290814980459572e+02,1.356696492988618274e-02,5.978083242195938452e-01,5.978164150028828505e-01,1.172507334889609965e+01,1.586869598817486281e-05,1.172507334889609965e+01,1.586869598831760480e-05,2.000000000000000000e+00
5.514000000000302038e+01,2.853839740513316237e+00,1.498650575091811810e+01,3.136859188460757508e+00,7.689076304170827658e-01,3.680510074785560878e-06,3.246681317042463104e-06,7.999999999898124159e-01,1.797287924256339124e+02,1.797290815784113818e+02,1.349424908188190386e-02,5.978889795668530516e-01,5.978969690138730142e-01,1.172665427264917604e+01,1.566994212360839424e-05,1.172665427264917604e+01,1.566994212358522280e-05,2.000000000000000000e+00
5.516000000000302350e+01,2.838461280039326962e+00,1.498657847122854214e+01,3.136859252983679180e+00,7.689553343108638250e-01,3.633753474442795201e-06,3.206138920183200774e-06,7.999999999900657688e-01,1.797287961225250115e+02,1.797290816585881998e+02,1.342152877145785794e-02,5.979695201273913518e-01,5.979774094889337421e-01,1.172823295732193394e+01,1.547364147391760980e-05,1.172823295732193394e+01,1.547364147390473490e-05,2.000000000000000000e+00
5.518000000000302663e+01,2.823081866274981699e+00,1.498665119599432316e+01,3.136859316701130052e+00,7.690029608900988967e-01,3.587597170478192313e-06,3.166127544961485760e-06,7.999999999903126824e-01,1.797287997732660187e+02,1.797290817385784862e+02,1.334880400567683978e-02,5.980499460639917553e-01,5.980577365757978603e-01,1.172980940595949129e+01,1.527976452067037052e-05,1.172980940595949129e+01,1.527976452061884381e-05,2.000000000000000000e+00
5.520000000000302975e+01,2.807701500765167779e+00,1.498672392520840546e+01,3.136859379623654132e+00,7.690505102930018655e-01,3.542033463961275751e-06,3.126639646591022199e-06,7.999999999905533787e-01,1.797288033784610946e+02,1.797290818183844010e+02,1.327607479159453874e-02,5.981302575391455045e-01,5.981379504221253640e-01,1.173138362160339554e+01,1.508828217495761305e-05,1.173138362160339554e+01,1.508828217502618883e-05,2.000000000000000000e+00
5.522000000000303288e+01,2.792320185052011183e+00,1.498679665886373868e+01,3.136859441761645773e+00,7.690979826574987355e-01,3.497054751775062483e-06,3.087667787609198622e-06,7.999999999907880799e-01,1.797288069387057590e+02,1.797290818980079052e+02,1.320334113626131511e-02,5.982104547150591811e-01,5.982180511754940921e-01,1.173295560729159348e+01,1.489916574470839805e-05,1.173295560729159348e+01,1.489916574476545927e-05,2.000000000000000000e+00
5.524000000000303601e+01,2.776937920674881433e+00,1.498686939695328313e+01,3.136859503125351889e+00,7.691453781212284069e-01,3.452653525481345390e-06,3.049204637294781600e-06,7.999999999910168968e-01,1.797288104545871192e+02,1.797290819774510169e+02,1.313060304671687106e-02,5.982905377536515967e-01,5.982980389834023915e-01,1.173452536605842944e+01,1.471238694712440133e-05,1.173452536605842944e+01,1.471238694709392508e-05,2.000000000000000000e+00
5.526000000000303913e+01,2.761554709170398691e+00,1.498694213947000620e+01,3.136859563724873290e+00,7.691926968215434535e-01,3.408822370203446642e-06,3.011242971330143149e-06,7.999999999912400517e-01,1.797288139266839551e+02,1.797290820567155833e+02,1.305786052999380331e-02,5.983705068165608987e-01,5.983779139932628999e-01,1.173609290093465773e+01,1.452791788096874472e-05,1.173609290093465773e+01,1.452791788109751575e-05,2.000000000000000000e+00
5.528000000000304226e+01,2.746170552072439097e+00,1.498701488640688595e+01,3.136859623570167788e+00,7.692399388955105666e-01,3.365553963526024811e-06,2.973775671171100825e-06,7.999999999914575444e-01,1.797288173555667470e+02,1.797290821358035657e+02,1.298511359311405045e-02,5.984503620651417943e-01,5.984576763524054321e-01,1.173765821494743911e+01,1.434573103864522636e-05,1.173765821494743911e+01,1.434573103852015517e-05,2.000000000000000000e+00
5.530000000000304539e+01,2.730785450912140089e+00,1.498708763775690578e+01,3.136859682671051974e+00,7.692871044799114433e-01,3.322841074411504169e-06,2.936795723653248150e-06,7.999999999916695970e-01,1.797288207417979891e+02,1.797290822147167262e+02,1.291236224309422198e-02,5.985301036604765423e-01,5.985373262080669887e-01,1.173922131112035139e+01,1.416579926569738779e-05,1.173922131112035139e+01,1.416579926556723440e-05,2.000000000000000000e+00
5.532000000000304851e+01,2.715399407217906180e+00,1.498716039351305973e+01,3.136859741037202998e+00,7.693341937112435636e-01,3.280676562132276148e-06,2.900296220130887604e-06,7.999999999918764315e-01,1.797288240859321036e+02,1.797290822934567984e+02,1.283960648694026929e-02,5.986097317633726211e-01,5.986168637073936427e-01,1.174078219247338950e+01,1.398809576684811974e-05,1.174078219247338950e+01,1.398809576678042657e-05,2.000000000000000000e+00
5.534000000000305164e+01,2.700012422515415178e+00,1.498723315366835074e+01,3.136859798678160782e+00,7.693812067257208565e-01,3.239053375217639184e-06,2.864270355765791028e-06,7.999999999920779370e-01,1.797288273885156968e+02,1.797290823720256014e+02,1.276684633164926197e-02,5.986892465343606196e-01,5.986962889974410951e-01,1.174234086202294236e+01,1.381259411346036393e-05,1.174234086202294236e+01,1.381259411356732555e-05,2.000000000000000000e+00
5.536000000000305477e+01,2.684624498327623066e+00,1.498730591821579239e+01,3.136859855603330249e+00,7.694281436592744772e-01,3.197964550415983457e-06,2.828711428985789300e-06,7.999999999922744465e-01,1.797288306500876729e+02,1.797290824504247553e+02,1.269408178420761146e-02,5.987686481337044508e-01,5.987756022251675692e-01,1.174389732278183196e+01,1.363926820943106713e-05,1.174389732278183196e+01,1.363926820933430208e-05,2.000000000000000000e+00
